id,string
ts.gmt.1,(GMT-11:00) Midway Island, Samoa
ts.gmt.2,(GMT-10:00) Hawaii
ts.gmt.3,(GMT-09:00) Alaska
ts.gmt.4,(GMT-08:00) Pacific Time
ts.gmt.5,(GMT-07:00) Mountain Time
ts.gmt.6,(GMT-07:00) Arizona
ts.gmt.7,(GMT-06:00) Central Time
ts.gmt.8,(GMT-06:00) Middle America
ts.gmt.9,(GMT-05:00) Indiana East, Colombia
ts.gmt.10,(GMT-05:00) Eastern Time
ts.gmt.11,(GMT-04:00) Atlantic Time, Brazil West
ts.gmt.12,(GMT-04:00) Bolivia, Venezuela
ts.gmt.13,(GMT-03:00) Guyana
ts.gmt.14,(GMT-03:00) Brazil East, Greenland
ts.gmt.15,(GMT-02:00) Mid-Atlantic
ts.gmt.16,(GMT-01:00) Azores Islands
ts.gmt.17,(GMT) Gambia, Liberia, Morocco
ts.gmt.18,(GMT) England
ts.gmt.19,(GMT+01:00) Czech Republic, N
ts.gmt.20,(GMT+01:00) Germany
ts.gmt.21,(GMT+01:00) Tunisia
ts.gmt.22,(GMT+02:00) Greece, Ukraine, Turkey
ts.gmt.23,(GMT+02:00) South Africa
ts.gmt.24,(GMT+03:00) Iraq, Jordan, Kuwait
ts.gmt.25,(GMT+03:00) Moscow Winter Time
ts.gmt.26,(GMT+04:00) Armenia
ts.gmt.27,(GMT+05:00) Pakistan, Russia
ts.gmt.28,(GMT+06:00) Bangladesh, Russia
ts.gmt.29,(GMT+07:00) Thailand, Russia
ts.gmt.30,(GMT+08:00) China Coast, Hong Kong
ts.gmt.31,(GMT+08:00) Taipei
ts.gmt.32,(GMT+08:00) Singapore
ts.gmt.33,(GMT+08:00) Australia(WA)
ts.gmt.34,(GMT+09:00) Japan, Korea
ts.gmt.35,(GMT+09:00) Korean
ts.gmt.36,(GMT+10:00) Guam, Russia
ts.gmt.37,(GMT+10:00) Australia(QLD, TAS,NSW,ACT,VIC)
ts.gmt.38,(GMT+11:00) Solomon Islands
ts.gmt.39,(GMT+12:00) Fiji
ts.gmt.40,(GMT+12:00) New Zealand
ts.title,Uhrzeit  einstellen
uf.1,Firmware hochladen
uf.2,Standort
uf.alert.1,Firmware-Upgrade: Bitte eine Datei bestimmen.
uf.alert.2,Aktualisierung von Firmware fehlgeschlagen. Bitte versuchen Sie es erneut.
uf.desc,Aktualisieren Sie die Firmware für neue oder erweiterte Funktionen. Die Aktualisierung dauert ungefähr 1 Minute. Bitte haben Sie etwas Geduld während der Aktualisierung. Achtung! Ein fehlerhafter oder falscher Datenfile führt zum Aufhängen des Systems.
uf.title,Firmware aktualisieren
url,URL
url.error.blank,Die URL kann nicht ein leerer String sein.
url.error.invalid.1,Der URL kann nicht einschließen
wan.access.concentrator,Access Concentrator
wan.address.expires.in,Die IP-Adresse läuft ab in
wan.alert.4,Der Hostname lässt nur [0-9a-zA-Z_-] Zeichen zu.
wan.alert.6,PPPoE Passwort ist leer!
wan.alert.7,PPPoE Benutzername ist leer!
wan.alert.8,Bitte geben Sie einen Maximale Pausenzeit Wert zwischen 1 und 3600 ein.
wan.alert.9,Bitte geben Sie einen MRU Wert zwischen 576 und 1492 ein.
wan.alert.10,Bitte geben Sie einen MTU Wert zwischen 576 und 1492 ein.
wan.alert.11,Bitte geben Sie einen MTU Wert zwischen 576 und 1460 ein.
wan.alert.18,PPTP Server IP Adresse enthält ungültige Zeichen
wan.alert.19,PPTP Server IP Adresse lässt nur [2-0a-zA-Z_-] Zeichen zu.
wan.alert.20,PPTP Server IP Adressenformat falsch!
wan.alert.21,PPTP Server Benutzername enthält ungültige Zeichen
wan.alert.22,PPTP Server Passwort enthält ungültige Zeichen
wan.alert.23,Die PPTP IP Adresse befindet sich nicht innerhalb des Subnetzes vom Gateway.
wan.alert.24,PPTP Benutzername ist leer!
wan.alert.25,PPTP Passwort ist leer!
wan.alert.26,L2TP Server IP-Adresse hat ungültige Zeichen
wan.alert.27,L2TP Server IP Adresse lässt nur [2-0a-zA-Z_-] Zeichen zu.
wan.alert.28,L2TP Server IP-Adressen-Format nicht korrekt!
wan.alert.29,L2TP-Benutzername ist leer!
wan.alert.30,L2TP Server Benutzername enthält ungültige Zeichen
wan.alert.31,L2TP Passwort ist leer!
wan.alert.32,L2TP Server Passwort enthält ungültige Zeichen
wan.conn.type,Art der Verbindung
wan.connect.type,WAN Anschlußtyp (Typ ihres Internetanschlusses)
wan.connection.status,Status Verbindung
wan.demand.mode,Bei Bedarf-Modus
wan.desc,Hier können Sie einen anderen Verbindungstyp auswählen, passend zu ihrem Anschluss. Es können auch die entsprechenden nötigen Parameter für den ausgewählten Verbindungstyp konfiguriert werden. (Ihren Anschlußtyp erfahren Sie von ihrem Internetanbieter)
wan.dhcp,DHCP
wan.dhcp.settings,DHCP Einstellungen
wan.dns.servers,DNS-Server
wan.domain.name,Domain Name
wan.hostname,Hostname (optional)
wan.ip.setting,WAN Schnittstelle IP Einstellung
wan.keep.alive.mode,Aufrechterhaltungsmodus
wan.l2tp,L2TP
wan.l2tp.server,L2TP Server
wan.l2tp.setting,L2TP Einstellung
wan.max.idle.time,Maximale Pausenzeit
wan.mru,MRU(gradlinige ebene Verteilung)
wan.mtu,MTU(Maximale Übertragungseinheit)
wan.password,Passwort
wan.ppoe.setting,PPPoE Einstellung
wan.pppoe,PPPoE
wan.pptp,PPTP
wan.pptp.server,PPTP Server (Tunnelprotokoll Punkt zu Punkt)
wan.pptp.setting,PPTP Einstellung
wan.protocol.phy.con,Protokoll der physikalischen Verbindung
wan.service.name,Service Name
wan.static,Statisch
wan.status,WAN Status
wan.title,Internet Einstellungen
wan.user.name,Benutzername
wireless.node.adv,Erweitert
wireless.node.basic,Basis
wireless.node.guest.net,Gästenetzwerk
wireless.node.security,Sicherheit
wireless.node.wps,WPS
wireless.sta.list,Geräteliste
wps.1,Wifi-Einladung
wps.2,PIN Wifi-Einladungsmodus
wps.3,Auflistung der Stationen mit einer bestätigten Wifi-Einladung
wps.4,Stationen mit einer Wifi-Einladung-Bestätigung
wps.5,Vorgang
wps.6,Freundliche Benennung
wps.desc,Diese Seite ermöglicht Ihnen die WPS Einstellungen vorzunehmen.
wps.title,WPS
wz.title,Setup Assistent
wz.desc,Sie können den Setup-Assistenten zur Konfiguration für die Verbindung an das Internet, oder auch zum Einrichten des Wirelessnetzes und seiner Absicherung verwenden.
wz.1,Setup Assistent für die Internetverbindung
wz.2,Der folgende Web-basierte Setup-Assistent hilft Ihnen beim Anschluss des Routers an das Internet. Dieser Setup-Assistent führt Sie mit Schritt-für-Schritt-Anleitungen an, um Ihre Internet-Verbindung einzurichten. Klicken Sie zum beginnen auf die Schaltfläche unten.
wz.3,Starten Sie den Setup Assistenten für die Internetverbindung
wz.4-1,Hinweis
wz.4-2,Vor dem Start dieses Assistenten, stellen Sie bitte sicher, dass Sie alle Schritte in der Kurzanleitung, welche im Paket enthalten ist, für die Installation durchgeführt haben.
wz.5,Wireless Security Setup-Assistent
wz.6,Für zusätzliche Sicherheit ist das TEW-818DRU Wireless-Netzwerk bereits ab Werk mit einem eigenen Netzwerksicherheitsschlüssel gesichert. Starten Sie den Wireless Security Setup-Assistenten, um diesen existierenden Sicherheitsschlüssel zu ändern (Empfohlen).
wz.7,Starten Sie den Wireless Security Setup Assistenten
wz.8-1,Hinweis
wz.8-2,Einige Änderungen, die mit diesem Setup-Assistenten gemacht werden, können Sie auffordern, einige Einstellungen an Ihrem Wireless Adapter zu ändern, damit dieser sich noch mit dem Router verbinden kann.
wi.1,Willkommen bei dem Setup Assistenten für Ihre Internetverbindung
wi.2,Dieser Assistent führt Sie durch eine Schritt-für-Schritt-Anleitung um den Router für die Verbindung zum Internet zu konfigurieren.
wi.3,Schritt 1: Wählen Sie die Art ihrer Internetverbindung (Erfahren Sie bei ihrem Netzanbieter)
wi.4,Schritt 2: Konfigurieren der Internetverbindung
wi.4-1,Schritt 2: Statische IP-Adressen Anschluss
wi.4-2,Schritt 2: DHCP-Verbindung(Dynamische IP-Adresse)
wi.4-3,Schritt 2: Benutzername und Passwort Verbindungsart (PPPoE)
wi.4-4,Schritt 2: Benutzername und Kennwort einrichten(L2TP)
wi.4-5,Schritt 2: Benutzername und Passwort für Verbindung (PPTP)
wi.5,Schritt 3: Einstellungen abspeichern und Verbindung aufbauen
wi.6,Bitte den Internetanschlußtyp unten auswählen:
wi.7,Statische IP-Adresse Anschlusstyp
wi.8,Wählen Sie diese Option, wenn Ihr Internetanbieter Ihnen Angaben zur manuellen IP Adressen Eingabe gegeben hat.
wi.9,DHCP-Verbindung (Dynamische IP Adresse)
wi.10,Wählen Sie diese Option, wenn Ihr Internetanbieter automatisch eine IP-Adresse vergibt. Die meisten Kabel Internetanbieter nutzen diese Art der Verbindung.
wi.11,Username / Passwort Verbindung(PPPoE)
wi.12,Wählen Sie diese Option, wenn Ihre Internet-Verbindung einen Benutzernamen und ein Passwort erfordert um online zu gehen. Die meisten DSL-Anbieter nutzen diese Art der Verbindung.
wi.13,Username / Passwort Verbindung(L2TP)
wi.14,L2TP-Client
wi.15,Username / Passwort Verbindung(PPTP)
wi.16,PPTP-Client
wi.17,Zum Einrichten dieser Verbindung benötigen Sie eine Liste aller IP-Informationen die Sie von ihrem Internetanbieter zur Verfügung gestellt bekommen haben. Wenn Sie eine statische IP-Verbindung haben und nicht über diese Informationen verfügen, wenden Sie sich an Ihren ISP.
wi.18,IP-Adresse
wi.19,Subnetzmaske
wi.20,Voreingestelltes Gateway
wi.21,Primärer DNS-Server
wi.22,Sekundärer DNS-Server
wi.23,Zum Einrichten der DHCP-Verbindung, stellen Sie bitte sicher, dass der Router mit dem PC, der ursprünglich an diese Breitband-Verbindung angeschlossen war verbunden ist. Danach kopieren Sie dann bitte die MAC-Adresse Ihres Computers in den Router.
wi.24,Zum Einrichten der DHCP-Verbindung müssen Sie möglicherweise auch einen Hostnamen angeben. Wenn Sie diesen nicht wissen oder diese Information nicht vorliegt, kontaktieren Sie bitte Ihren ISP.
wi.25,MAC-Adresse
wi.26,(optional)
wi.27,PC MAC-Adresse klonen
wi.28,Hostname
wi.29,Der Verbindungsaufbau erfordert die Eingabe eines Benutzernamens und Passworts(vom ISP zu Verfügung gestellt)um Internetzugang zu bekommen. Wenn diese Informationen nicht vorliegen, bitte den ISP verständigen.
wi.30,Benutzername
wi.31,Passwort
wi.32,Überprüfen Passwort
wi.33,Zum Einrichten dieser Verbindung müssen Sie einen Benutzernamen und ein Passwort von Ihrem Internet Service Provider haben, sowie eine L2TP IP-Adresse. Wenn Sie nicht über diese Informationen verfügen, wenden Sie sich an Ihren ISP.
wi.34,L2TP Server IP Adressen:
wi.35,(Unter Umständen genauso wie der Gateway)
wi.36,WAN Schnittstelle IP Typ
wi.37,Statische IP
wi.38,Dynamische IP
wi.39,Zum Einrichten dieser Verbindung müssen Sie einen Benutzernamen und ein Passwort von Ihrem Internet Service Provider haben, sowie auch eine PPTP IP-Adresse. Wenn Sie nicht über diese Informationen verfügen, wenden Sie sich an Ihren ISP.
wi.40,PPTP Server IP Adressen:
wi.42,Setup abgeschlossen!
wi.43,Der Setup Assistent für Ihre Internetverbindung ist abgeschlossen. Klicken Sie auf die Schaltfläche Übernehmen, um die Einstellungen zu speichern und zu übernehmen.
wi.44,Internetverbindungstyp
wi.alert.1,Bitte wählen Sie eine Verbindungstyp Option.
wi.alert.2,Unbekannter Internetverbindungstyp, überprüfen Sie bitte die Einstellung erneut.
ww.1,Willkommen zum Wireless Security Setup Assistenten
ww.2,Dieser Assistent führt Sie durch eine Schritt-für-Schritt-Anleitung um Ihr drahtloses Netzwerk einzurichten und zu sichern.
ww.3,Schritt 1: Geben Sie ihrem Wireless Netz einen Namen
ww.4,Schritt 2: Sichern Sie Ihr Wireless Netzwerk
ww.5,Schritt 3: Erstellen Sie Ihr Wireless Security Passwort
ww.6,Ihr Wireless Netzwerk benötigt einen Namen damit es einfach von Wireless Geräten erkannt wird. Zur Sicherheit ist der Router von Werk aus mit einer eigenen SSID und WiFi-Verschlüsselung gesichert. Diese Daten befinden sich auf dem mitgelieferten Sticker, als auch auf der Geräterückseite. Es wird empfohlen die Daten zu ändern. Es sind keine weiteren Wireless Einstellungen nötig. Falls Sie die werksseitigen Verschlüsselungen ändern möchten, geben Sie unten den WiFi Namen ein und folgen Sie dem Wizard. Empfohlen.
ww.7,Name des drahtlosen Netzwerks (SSID)
ww.8,Zur Sicherheit ist der Router von Werk aus mit einer WiFi-Verschlüsselung gesichert. Diese Daten befinden sich auf dem mitgelieferten Sticker, als auch auf der Geräterückseite. Es wird empfohlen die Daten zu ändern. Es sind keine weiteren Wireless Einstellungen nötig. Falls Sie die werksseitigen Einstellungen ändern möchten, wählen Sie unten die Sicherheitsstufe und folgen Sie dem Wizard. Empfohlen.
ww.9,Es gibt zwei Ebenen von drahtlosen Sicherheitssystemen-Gute Sicherheit und Beste Sicherheit. Die Ebene, die Sie wählen, hängt davon ab welche Sicherheitsfunktionen ihr Wireless-Adapter unterstützt.
ww.10,Beste
ww.11,Wählen Sie diese Option, wenn Ihr WLAN-Adapter WPA2 unterstützt
ww.12,Besser
ww.13,Wählen Sie diese Option, wenn Ihr WLAN-Adapter WPA-Unterstützung
ww.14,Gut
ww.15,Wählen Sie diese Option, wenn Ihr(e) WLAN-Adapter WPA nicht unterstützt(en)
ww.16,Keiner
ww.17,Wählen Sie diese Option, wenn Sie keinerlei Sicherheitsfunktionen aktivieren möchten
ww.18,Zur Sicherheit ist der Router von Werk aus mit einer WiFi-Verschlüsselung gesichert. Diese Daten befinden sich auf dem mitgelieferten Sticker, als auch auf der Geräterückseite. Es wird empfohlen die Daten zu ändern. Es sind keine weiteren Wireless Einstellungen nötig. Falls Sie die werksseitige Einstellung ändern möchten, geben Sie unten bitte den WiFi Schlüssel ein und folgen Sie dann dem Wizard. Empfohlen.
ww.19,WLAN-Sicherheits Passwort
ww.20,(5/13 ASCII-Zeichen oder 10/26 HEX-Zeichen)
ww.21,(8 to 64 Zeichen)
ww.22,Setup abgeschlossen!
ww.23,Unten ist eine ausführliche Zusammenfassung ihrer W-LAN Sicherheitseinstellungen aufgeführt. Diese Seite bitte ausdrucken, oder die Information auf einem Blatt Papier vermerken, sodass die korrekten Einstellungen auf den W-LAN Client-Adaptern konfiguriert werden können.
ww.24,WEP Schlüsselcode Länge:
ww.25,Zu verwendender voreingestellter WEP Schlüssel:
ww.26,Authentifizierung
ww.27,Öffnen
ww.28,WEP-Schlüssel
ww.29,Verschlüsselung
ww.30,WPA-PSK/AES(auch als WPA Personal bekannt)
ww.31,Pre-Shared Schlüssel
ww.32,WPA2-PSK/AES(auch als WPA2 Personal bekannt)
ww.alert.1,Das SSID-Feld darf nicht leer sein!
ww.alert.2,Bitte eine Sicherheitsoption auswählen.
ww.alert.3,Das Wireless Security Passwort muss mindestens 8 Zeichen lang sein.
ww.alert.4,Bitte geben Sie 64 Hex Zeichen als WPA-PSK-Schlüssel ein!
ww.alert.5,WEP Passwort enthält ungültige Zeichen.
ww.alert.6,WEP-Kennwort muss 26 aus Hex-Ziffern bestehen, die jeweils von [0-9a-fA-F] nur sein dürfen.
ww.alert.7,SSID enthält unzulässige Zeichen.
wz.confirm.1,Sind Sie sicher, dass Sie diesen Assistenten beenden möchten?
wz.confirm.2,Es werden keine Änderungen an Ihrem Gerät vorgenommen, bis der Einrichtungsassistent abgeschlossen ist; sind Sie sicher, dass Sie den Assistenten verlassen möchten?
wz.confirm.3,Speichern und übernehmen der Änderungen?
prev,vorherige
next,Weiter
connect,Verbinden
disconnect,Nicht verbunden
jan,Jan
feb,Feb
mar,März
apr,April
may,Mai
jun,Jun
jul,Jul
aug,August
sep,September
oct,Oktober
nov,November
dec,Dez
guest,Gast
always,Immer
readonly,Nur lesen
readwrite,Lesen/Schreiben
file.share.note.1,Hinweis: Das Administrator Passwort ist das gleiche wie das Administrator Passwort für den Router.
file.share.ftp.remote,Remote Access
file.share.ftp.codepage,Sprache(Code-Seite)
codepage.0,Westeuropäische
codepage.1,Zentraleuropäische
codepage.2,Griechisch
codepage.3,Kyrillisch
codepage.4,Japanisch
codepage.5,Korean
codepage.6,Chinesisch(traditionell)
codepage.7,Chinesisch(vereinfacht)
codepage.8,Thailändisch
codepage.9,Arabisch
ebd.wps.67,WPS STOPPEN
ebd.wps.68,PBC erneut
ebd.wps.69,Antragsteller hinzufügen
clicktodispay,Zum Anzeigen hier klicken
um.js.1,Fehler. IP Adresse ist leer.
um.js.2,Es sollte eine [0-9] Zahl sein.
um.js.3,IP Adresse Formatfehler.
um.js.4,Adressenformatfehler maskieren.
um.js.5,Inkorrekte IP-Adresseinstellungen. Das letzte Oktett der IP-Adresse muss zwischen 0 und 255 liegen.
um.js.6,ist ein lokale IP-Adresse.
um.js.7,ist ein Broadcast-IP-Adresse.
um.js.8,ist ein Klasse-A-Netzwerk-Adresse.
um.js.9,ist ein Klasse-A-Broadcast-Adresse.
um.js.10,ist ein Klasse-B-Netzwerk-Adresse.
um.js.11,ist ein Klasse-B-Broadcast-Adresse.
um.js.12,ist ein Klasse-C-Netzwerk-Adresse.
um.js.13,ist ein Klasse-C-Broadcast-Adresse.
um.js.14,ist ein Klasse-D IP-Adresse.
um.js.15,ist ein Klasse-E IP-Adresse.
um.js.16,Inkorrekte IP-Adresseinstellungen. Bitte geben Sie eine gültige Host-IP-Adresse innerhalb des IP-Subnetzes ein wie von der Subnetzmaske definiert, oder modifizieren Sie die Subnetzmaske entsprechend.
um.js.17,Inkorrekte IP-Adresseinstellungen. Bitte geben Sie eine gültige Host-IP-Adresse innerhalb des IP-Subnetzes ein wie von der Subnetzmaske definiert, oder modifizieren Sie die Subnetzmaske entsprechend.
um.js.18,Fehler. MAC Adresse ist leer.
func.js.1,Wird bearbeitet, bitte warten......
um.js.19,Die Lange der SSID darf nicht groser als 32 Zeichen sein!
um.js.20,Bitte geben Sie 64 HEX-Zeichen fur den Pre-Shared Key ein
um.js.21,Das Passwort muss aus 8 bis 63 ASCII-Zeichen bestehen!
func.js.2,Neustart, bitte warten ......
func.js.3,Unzulässige Firmware-Datei. Die Firmware kann nicht aktualisiert werden. Der Router startet jetzt neu, um sicherzugehen, dass das Gerät seinen normalen Betrieb wieder aufnimmt.
sm.confirm.1,Sind Sie sicher, dass Sie die Konfiguration importieren möchten?
sm.confirm.2,Sind Sie sicher, dass Sie auf die Werkseinstellungen laden möchten?
sm.confirm.3,Sind Sie sicher, dass Sie nun das Gerät neu starten möchten?
uf.confirm.1,Sind Sie sicher, dass Sie die Firmware aktualisieren möchten?
mg.16,Remote Port
routing.alert.5,Der nächste Schritt ist über die LAN Schnittstelle nicht erreichbar!
routing.alert.6,Inkorrekte Routereinstellung. Bitte geben Sie eine gültige IP-Netzwerkadresse/Subnetz oder eine gültige Host Gateway Adresse innerhalb des IP-Subnetzes ein wie von der Subnetzmaske definiert. Andernfalls ändern Sie bitte die Subnetzmaske entsprechend.
routing.alert.7,Die Netzmaske muss auf \'255.255.255.255\' gesetzt werden, wenn die Zieladresse ein Host ist!
routing.alert.8,Die Netzmaske kann nicht auf \'255.255.255.255\' gesetzt werden, wenn die Zieladresse ein Netzwerk ist!
url.error.invalid.2,Die URL kann nicht folgenden Zeichen einschließen
port.range.alert.1,TCP Start Port sollte weniger als TCP End Port sein
port.range.alert.2,UDP Start-Port sollte weniger als UDP End Port sein
ssid.error,Ungültige Zeichen in der SSID!
wa.alert.1,Bitte legen Sie den Beacon Interval fest.
wa.alert.2,Ungültiger Beacon Interval.
wa.alert.3,Bitte legen Sie den DTIM Interval fest.
wa.alert.4,Ungültiger DTIM Interval.
wa.alert.5,Bitte legen Sie die Fragmentationslänge fest.
wa.alert.6,Ungültige Fragmentierungslänge.
wa.alert.7,Der Fragement Threshold-Wert muss eine ganze Zahl sein!
wa.alert.8,Bitte legen Sie RTS Threshold fest.
wa.alert.9,Ungültiger RTS Threshold.
wa.alert.10,Der RTS Threshold Wert muss eine ganze Zahl sein!
wa.alert.11,Der Beacon Interval Wert muss eine ganze Zahl sein!
wa.alert.12,DTIM Wert muss eine ganze Zahl sein!
wa.alert.13,Der Fragment Threshold Wert muss eine ganze Zahl sein!
wa.alert.14,Der RTS Threshold Wert muss eine ganze Zahl sein!
5gwa.3,(Bereich 20 - 1000, Rückstellung 100)
5gwa.5,(Bereich 1 - 255, Rückstellung 3)
5gwa.7,(Bereich 256 bis 2346, Standard 2346)
5gwa.9,(Bereich 1 bis 2347, Standard 2347)
security.alert.6,Der Rotation Intervall muss eine ganze Zahl sein!
security.alert.7,Sind Sie sicher, dass Sie WPS mit offener Sicherheit konfigurieren möchten?
security.alert.8,WPS unterstützt nicht Shared 802.11 Authentifizierung. Konfigurierung dieser Einstellung auf Shared Authentifizierung deaktiviert automatisch WPS.
security.alert.9,WPS wird nur mit WPA2-PSK oder WPA2-PSK+WPA-PSK gemischtem Sicherheitsmodus unterstützt. Deaktivierung der SSID-Übertragung deaktiviert die WPS-Funktionalität. Klicken Sie auf 'OK', um die Änderungen zu speichern, oder auf 'Abbrechen', um die Änderungen zu verwerfen.
security.alert.10,WPS unterstützt nicht 'Nur TKIP' WPA-Verschlüsselung. Konfigurierung dieser Einstellung auf 'Nur TKIP' WPA Verschlüsselung deaktiviert automatisch WPS.
security.alert.11,WPS unterstützt nicht WEP-Verschlüsselung. Konfigurierung dieser Einstellung auf 'WEP-Verschlüsselung' deaktiviert automatisch WPS.
5gw.off,Das Wireless Netzwerk ist ausgeschaltet.
bytes,Bytes
wan.8,L2TP
wan.9,PPTP
ww.33,Bitte wählen Sie aus, welche drahtlose Schnittstelle Sie einrichten möchten:
wan.alert.1,Kann keine XMLHTTP-Instanz herstellen
wan.alert.2,Kann nicht die MAC-Adresse beziehen.
wan.alert.3,Die statische IP-Adresse ist nicht innerhalb des Subnetz Gateway.
wan.alert.12,L2TP Server IP-Adresse hat ungültige Zeichen
wan.alert.13,L2TP Server IP Adresse lässt nur [2-0a-zA-Z_-] Zeichen zu.
wan.alert.14,L2TP Server IP-Adressen-Format nicht korrekt!
wan.alert.15,L2TP Server User Name hat ungültige Zeichen!
wan.alert.16,L2TP Server Password hat ungültige Zeichen!
wan.alert.33,WAN IP-Subnetz kann nicht das gleiche wie das LAN IP-Subnetz sein.
wi.alert.4,PPTP Benutzername ist leer!
use.legacy.rate,Legacy Rate verwenden
minutes,Min
hours,Stunden
seconds,Sekunden
time.format,Zeitformat
wireless.24g,Wireless(2.4GHz)
wireless.5g,Wireless(5GHz)
net.node,Netzwerk
wizard.node,Assistent
adv.node,Erweitert
adv.1,Erweiterte Wireless Einstellungen
port.range.alert.3,Die TCP-Portzahl wird bereits verwendet. Weisen Sie bitte eine andere Portzahl zu.
port.range.alert.4,Die UDP-Portzahl wird bereits verwendet. Weisen Sie bitte eine andere Portzahl zu.
port.error.2,Die allgemeine Portzahl wird bereits verwendet. Weisen Sie bitte eine andere Portzahl zu.
access.alert.2,Start-IP muss kleiner sein als End-IP!
mac.address.error.1,Bitte geben Sie eine gültige MAC-Adresse ein.(z.B. 00:11: 22: 33: 44: 55)
ipv6.status.2,Angeschlossene
wan.dynamic,Dynamischer
wi.node.1,Willkommen
wi.node.2,Art der Verbindung
wi.node.3,Verbindungsaufbau
wi.node.4,Abgeschlossen
ww.node.1,SSID einrichten
ww.node.2,Sicherheit auswählen
ww.node.3,Kennwort festlegen
ww.wepkeylen.1,64 bit
ww.wepkeylen.2,128 bit
routing.alert.9,Dieser Eintrag musste in der Liste der statischen Routen abgelegt werden, wenn er erneut abgelegt werden soll, zuerst den früheren Eintrag in der Liste der statischen Routen 'löschen'!!
file.share.alert.1,Servername ist leer!
file.share.alert.2,Servername darf nur aus [0-9a-zA-Z_-] Zeichen bestehen.
file.share.alert.3,Arbeitsgruppe ist leer!
file.share.alert.4,Arbeitsgruppe darf nur aus [0-9a-zA-Z_-] Zeichen bestehen.
file.share.alert.5,Beschreibung enthält unzulässige Zeichen
file.share.alert.6,Benutzername ist leer!
file.share.alert.7,Benutzername darf nur aus [0-9a-zA-Z_-] Zeichen bestehen.
file.share.alert.8,Kennwort ist leer!
file.share.alert.9,Dieser Benutzernamen wird bereits in einer anderen Regel verwendet.
ts.11,Sommerzeit
ts.12,Sommerzeit einstellen
ts.13,Zeitunterschied bei Sommerzeit
ts.14,Termine der Zeitumstellung
ts.15,Beginn der Sommerzeit
ts.16,Ende der Sommerzeit
ipv6.status.1,6 zu 4
wps.confirm.1,Sind Sie sicher, dass Sie WPS mit offener Sicherheit konfigurieren möchten?
wps.alert.1,PIN ist ungültig!
security.alert.12,Sind Sie sicher, dass Sie WPS aktivieren möchten? Aktivieren von WPS ändert die SSID-Netzwerkart zu 'offen'?
security.alert.13,Deaktivierung der SSID-Übertragung deaktiviert die WPS-Funktionalität. Klicken Sie auf 'OK', um die Änderung zu übernehmen oder auf 'Abbrechen', um die Änderung zu verwerfen.“
login.width,550px
login.tag.1,Login
login.tag.2,Am TEW-818DRU einloggen
login.tag.5,Sprache
login.alert.1,Bitte Benutzernamen und Kennwort eingeben.
login.alert.2,Username und/oder Passwort falsch!
status.wepshared,WEP-SHARED
status.auto,WEP-AUTO
ww.confirm.1,Änderungen speichern und anwenden?
wi.confirm.1,Wollen Sie diesen Wizard verlassen?
guest.4,Isolierung des Wireless Client
guest.5,(verhindern Sie, dass Gastanwender auf das private LAN-Netzwerk zugreifen)
guest.6,(isolieren Sie Gastanwender voneinander)
guest.7,Fortgeschrittene Gastnetzwerkeinstellungen
guest.8,Diese Seite erlaubt Ihnen, die fortgeschrittenen Gastnetzwerkeinrichtungen des Routers zu konfigurieren.
guest.9,Gastnetz-Schnittstelleneinstellung
guest.10,Zeitplan
guest.11,Zeitplan hinzufügen
fs.usb.1,Hardware sicher entfernen
fs.usb.2,Das Gerät kann jetzt sicher vom System getrennt werden.
fs.usb.3,Das Gerät kann momentan nicht getrennt werden. Versuch Sie später noch einmal, das Gerät zu trennen.
file.share.usb,USB Speicher
file.share.usb.rm,USB-Gerät sicher entfernen
file.share.usb.msgok,Sie können dieses Gerät jetzt trennen.
file.share.usb.msgfail,Das Gerät kann momentan nicht getrennt werden. Versuch Sie später noch einmal, das Gerät zu trennen.
file.share.usb.devdesc,Gerätebeschreibung
file.share.usb.readacce,Lesezugriff
file.share.usb.writeacce,Schreibzugang
file.share.usb.totalspace,Gesamtplatz
file.share.usb.freespace,Freier Speicherplatz
file.share.usb.sharename,Freigabename:
file.share.usb.volumename,Volumen-Name
select.all,Alle auswählen
select.none,Keine auswählen
func.js.4,Das Gerät übernimmt Änderungen und muss neu starten, bitte warten Sie......
func.js.5,Das Gerät übernimmt Änderungen, bitte warten Sie......
bottom.copyright,Copyright © 2014 TRENDnet. Alle Rechte vorbehalten.
bottom.product.registration,Produktgarantieregistrierung
basic,Einfache
advanced,Erweitert
basic.menu.networkstatus,Netzwerkstatus
basic.menu.wireless,Wireless
basic.menu.guestnetwork,Gästenetzwerk
basic.menu.parental,Elternkontrolle
basic.status.internet,Internet
basic.status.internet.connect,Mit dem Internet verbunden
basic.status.internet.noconnect,Keine Internetverbindung
basic.status.guest.2.4g.ssid,Gast-SSID 2.4 GHz
basic.status.guest.5g.ssid,Gast-SSID 5 GHz
basic.status.usb.connected,USB-Gerät(e) angeschlossen
basic.status.usb.noconnected,Kein(e) USB-Gerät(e) angeschlossen
basic.status.noconnected,Kein(e) Gerät(e) angeschlossen
basic.status.wireless.2.4g.ssid,2.4GHz SSID
basic.status.wireless.5g.ssid,5GHz SSID
basic.status.wireless.2.4g,2.4GHz
basic.status.wireless.5g,5GHz
basic.status.connected.devices,Verbundene Geräte
basic.wireless.title,W-LAN Einstellungen
